Point ID,_0,_1,_2,_Magnitude,f_26
0,0,0.41,0,0.41,-0.000131721809972464
1,0,0,0,0,-0.003498874199971345
2,2.2,0,0,2.2,0.0
3,2.2,0.41,0,2.23788,0.0
4,0.240451,0.229389,0,0.332319,-0.0003492115082643183
5,0.25,0.2,0,0.320156,0.002551491184667108
6,0.240451,0.170611,0,0.29483,-0.0029593198355392317
7,0.215451,0.152447,0,0.26393,-0.0024884887904625726
8,0.184549,0.152447,0,0.239371,-0.0014572040689657432
9,0.159549,0.170611,0,0.233589,0.0006532285118001573
10,0.15,0.2,0,0.25,0.000585132587459314
11,0.159549,0.229389,0,0.27942,0.0021996445323052877
12,0.184549,0.247553,0,0.308773,0.00268083165271725
13,0.215451,0.247553,0,0.328179,5.1249498230058566e-05
14,1.1,0,0,1.1,0.0006030409213604172
15,1.1,0.41,0,1.17393,-0.00041171233491858636
16,0,0.205,0,0.205,-0.005321235164574192
17,0.55,0,0,0.55,-0.002243824410530942
18,0.55,0.41,0,0.686003,-0.007088471039550501
19,0.275,0,0,0.275,0.0017651797673358758
20,0.275,0.41,0,0.493685,-0.0005997854456105682
21,1.65,0.41,0,1.70018,0.00048254960527337025
22,1.65,0,0,1.65,0.00023012368722531349
23,0.825,0.41,0,0.921263,0.004030058785764666
24,0.825,0,0,0.825,-0.0041552724821034785
25,1.375,0,0,1.375,-0.0013062361015640928
26,1.375,0.41,0,1.43483,0.0012334423285110913
27,1.925,0,0,1.925,0.00010163527272435619
28,1.925,0.41,0,1.96818,-0.00010801543356621926
29,1.5125,0.205,0,1.52633,0.0015080408335412423
30,1.7875,0.205,0,1.79922,-0.00010114644295324197
31,0.6875,0.205,0,0.717413,-0.0014411274975102628
32,0.9625,0.205,0,0.984089,-0.00033925470275693895
33,1.2375,0.205,0,1.25436,-0.00030672627410568043
34,2.2,0.205,0,2.20953,0.0
35,0.4687,0.206857,0,0.512318,-0.0039568517633431265
36,1.99375,0.215274,0,2.00534,-0.0003070320147504435
37,2.0625,0,0,2.0625,0.0002613830004227319
38,2.0625,0.41,0,2.10286,0.0001963516141934551
39,2.2,0.3075,0,2.22139,0.0
40,0.4125,0,0,0.4125,-0.0011003172550977758
41,0.4125,0.41,0,0.581598,0.005255225635622979
42,1.7875,0.41,0,1.83392,2.328981977721894e-05
43,1.375,0.148613,0,1.38301,-0.0003151436115020748
44,1.5125,0,0,1.5125,-0.0002919519485099497
45,1.7875,0,0,1.7875,0.0005648957883072375
46,1.5125,0.41,0,1.56709,0.001047989076745883
47,0.825,0.261387,0,0.865418,0.005277192027529243
48,0.9625,0.41,0,1.04619,0.003219472803056895
49,0.9625,0,0,0.9625,0.0030927846520959084
50,0.6875,0.41,0,0.800472,0.0023403345013516125
51,0.6875,0,0,0.6875,-0.001510304728335506
52,0.1375,0,0,0.1375,-0.0036484366778012263
53,0.1375,0.41,0,0.432442,-0.0003380868889221785
54,1.2375,0,0,1.2375,-0.001399944164449391
55,1.1,0.148613,0,1.10999,0.00220981148650133
56,1.2375,0.41,0,1.30365,-0.001949163846028555
57,1.65,0.148613,0,1.65668,-0.000721856480150153
58,1.12672,0.279306,0,1.16082,-0.0012523328487689196
59,1.67672,0.279306,0,1.69982,0.00023302044567440587
60,0.851716,0.130694,0,0.861685,-0.0007773524421366036
61,1.34828,0.279306,0,1.37691,-0.0006184365970294556
62,0.34375,0.303239,0,0.458386,0.004066874317300209
63,1.8947,0.128291,0,1.89904,0.00022302098481923326
64,2.0928,0.128291,0,2.09673,-0.00042863705754441996
65,1.85625,0.3075,0,1.88155,-0.0007855014033898366
66,0.61875,0.3075,0,0.690947,-0.00032732263360316224
67,0.61875,0.1025,0,0.627182,0.007617774657691633
68,0.364854,0.124008,0,0.385352,0.002652139122122029
69,0,0.3075,0,0.3075,-3.4074658683869424e-05
70,0,0.1025,0,0.1025,-0.0036666737516949143
71,2.09917,0.25625,0,2.11475,-0.00024609908508400115
72,0.48125,0.0923844,0,0.490037,0.0025971786972044377
73,0.5781,0.205928,0,0.613683,0.0009254289200316825
74,0.48125,0.319674,0,0.577748,-0.0036312328608204478
75,0.726588,0.305524,0,0.78821,0.00018774332175995351
76,1.99375,0.0839595,0,1.99552,-2.731753165059335e-05
77,1.45996,0.3075,0,1.49199,0.0015280046168514526
78,1.56903,0.298689,0,1.5972,0.0021230893695096667
79,0.75625,0.082131,0,0.760697,-0.000412934485400114
80,1.03125,0.327869,0,1.08212,-0.0016310589063889872
81,0.923871,0.307825,0,0.973804,-0.00025918468604860543
82,1.95938,0.312637,0,1.98416,-9.145493578088378e-05
83,1.74922,0.1025,0,1.75222,-0.0005153092070723771
84,1.27578,0.1025,0,1.27989,-0.0002547110874578839
85,2.2,0.1025,0,2.20239,0.0
86,1.22594,0.3075,0,1.26391,0.003579932722936584
87,1.55078,0.1025,0,1.55416,-0.00104133777895212
88,1.00078,0.1025,0,1.00601,6.500779956180648e-05
89,1.44375,0.0743064,0,1.44566,0.001705813112544927
90,1.16875,0.0743064,0,1.17111,0.0023254102460655143
91,1.89925,0.222997,0,1.9123,-0.0005422699206425725
92,0.10209,0.314026,0,0.330204,0.0041377911356044565
93,1.76648,0.293403,0,1.79068,0.0005558381601526087
94,0.340506,0.211999,0,0.401108,0.004106079504431634
95,0.771079,0.171097,0,0.789833,-0.0021930424495077245
96,1.04608,0.238903,0,1.07301,0.0026408580087297264
97,0.2,0.340065,0,0.394517,0.0020890756041668235
98,1.42111,0.226116,0,1.43899,0.0007486702114300032
99,0.280046,0.0898255,0,0.2941,-0.002124872533955221
100,0.098916,0.0917166,0,0.134894,-0.0007806441766591951
101,2.13125,0,0,2.13125,5.925362872496266e-05
102,2.11892,0.342208,0,2.14637,-0.00014802054185411237
103,1.30625,0.41,0,1.36908,0.0012598820492073582
104,0.89375,0,0,0.89375,-0.000591988461994535
105,1.59789,0.217379,0,1.61261,0.0006269049131423094
106,0.20625,0,0,0.20625,0.0015090162644351077
107,1.8293,0.074007,0,1.8308,0.001444351993249217
108,1.71875,0.41,0,1.76698,-0.00048521590917990865
109,1.16875,0.41,0,1.23858,-0.001210287839376048
110,2.03822,0.332421,0,2.06515,-2.0445893966886918e-05
111,0.34375,0,0,0.34375,-0.004336317368459097
112,0.417496,0.26966,0,0.49701,0.005594431475896801
113,0.2,0.0768785,0,0.214267,0.00044115148765402727
114,0.929598,0.134316,0,0.939252,0.0032938069315005926
115,0.0739069,0.169706,0,0.185101,0.016350675255998027
116,0.523837,0.25783,0,0.58385,0.001148387726870097
117,0.0545295,0.25625,0,0.261988,0.009165528898440627
118,0.522963,0.154882,0,0.545416,0.0026420814002292782
119,1.45277,0.154812,0,1.46099,0.002426074261120951
120,1.36922,0.0743064,0,1.37123,0.0010718127215185987
121,1.30625,0,0,1.30625,0.001151952423441801
122,0.850441,0.335694,0,0.914298,0.003022798325517757
123,0.882188,0.205,0,0.905694,0.002976490181624225
124,1.72094,0.171458,0,1.72946,-0.0009310923814167009
125,1.15719,0.205,0,1.17521,0.0014007582940413956
126,1.09422,0.0743064,0,1.09674,0.0007550807731879606
127,1.03125,0,0,1.03125,-0.0010933350116840304
128,1.30406,0.171458,0,1.31528,9.192598229010686e-05
129,1.67579,0.0743064,0,1.67744,0.0002471461522485887
130,0.275194,0.334608,0,0.433237,-0.005989650676690588
131,1.20967,0.13621,0,1.21731,-0.0010018258260255806
132,1.02534,0.170068,0,1.03934,0.004789792620664711
133,0.75625,0.41,0,0.860241,0.00247186453090243
134,1.58125,0,0,1.58125,-0.0010288294201366483
135,0.756717,0.24092,0,0.794143,-0.003482106538615851
136,0.692671,0.127225,0,0.704258,-0.0004910291451426659
137,0.413972,0.339793,0,0.535567,-0.0036200488642227757
138,0.984079,0.271775,0,1.02092,-0.00040591221239330723
139,0.06875,0.41,0,0.415724,0.003488277437966013
140,0,0.35875,0,0.35875,-0.0007021464742670395
141,0.928125,0.0627673,0,0.930245,0.003743099874472056
142,0.55074,0.321941,0,0.637934,-0.0040928474293951324
143,0.550447,0.0913689,0,0.557978,0.002523713736686955
144,1.58125,0.41,0,1.63354,0.00013667909558801725
145,1.63172,0.338187,0,1.6664,0.0002820599102810173
146,1.82561,0.144995,0,1.83136,0.0009851536948950928
147,1.85625,0,0,1.85625,0.0005536225283897474
148,1.44375,0,0,1.44375,0.0005827628578941684
149,1.44375,0.41,0,1.50084,0.0002687308795279313
150,1.85625,0.41,0,1.90099,-0.0005886309452822612
151,2.13125,0.41,0,2.17033,-0.00010095795895452526
152,0.75625,0,0,0.75625,-0.004378661891616839
153,0.89375,0.41,0,0.983305,-0.00015901835240343014
154,0.48125,0,0,0.48125,-0.003524171839651382
155,0.34375,0.41,0,0.535037,-0.0016184156219324795
156,0.48125,0.41,0,0.63222,0.0040990035698888275
157,0.20625,0.41,0,0.458954,0.0034882235021951977
158,0.06875,0,0,0.06875,-0.002591994168753315
159,1.16875,0,0,1.16875,0.0015855691711638338
160,0.61875,0,0,0.61875,-0.0019362203129428782
161,0.61875,0.41,0,0.742261,-0.001710010205095939
162,1.03125,0.41,0,1.10976,0.001105367489450963
163,1.71875,0,0,1.71875,0.0005654950360815932
164,1.99375,0,0,1.99375,0.0005810796300835875
165,1.99375,0.41,0,2.03547,0.0002067541617362768
166,1.34063,0.348949,0,1.38529,0.0011266513179110174
167,1.13437,0.348949,0,1.18683,-0.0001247696464970146
168,1.70018,0.343866,0,1.73461,-0.0005513114661298779
169,2.13578,0.0712665,0,2.13697,-6.863536736786198e-05
170,1.66844,0.21292,0,1.68197,0.0012470894422670175
171,1.29578,0.237844,0,1.31743,0.0029107064881203955
172,0.823308,0.0684233,0,0.826146,-0.0044734360572725555
173,1.40937,0.352031,0,1.45267,-0.0009155862012915116
174,0.403506,0.182067,0,0.44268,0.005283821286997715
175,0.378125,0.0579495,0,0.38254,4.595878027992793e-05
176,0.304347,0.151832,0,0.340118,0.0014870232045572185
