Point ID,_0,_1,_2,_Magnitude,f_26
0,0,0.41,0,0.41,-0.0005346590303541875
1,0,0,0,0,-0.0025782100744762677
2,2.2,0,0,2.2,0.0
3,2.2,0.41,0,2.23788,0.0
4,0.240451,0.229389,0,0.332319,0.0023960009517426197
5,0.25,0.2,0,0.320156,-0.007361252688556373
6,0.240451,0.170611,0,0.29483,-0.0015717294494878267
7,0.215451,0.152447,0,0.26393,0.002299630747279443
8,0.184549,0.152447,0,0.239371,-0.0008737648614741513
9,0.159549,0.170611,0,0.233589,-0.0022174766080390253
10,0.15,0.2,0,0.25,-0.007586794667265213
11,0.159549,0.229389,0,0.27942,-0.0014438449508901686
12,0.184549,0.247553,0,0.308773,-0.003059363372456742
13,0.215451,0.247553,0,0.328179,0.003180633793816153
14,1.1,0,0,1.1,-0.0006124789659859872
15,1.1,0.41,0,1.17393,0.0024970872741660074
16,0,0.205,0,0.205,0.007663935582072013
17,0.55,0,0,0.55,0.0022885851901553065
18,0.55,0.41,0,0.686003,0.005535108625139686
19,0.275,0,0,0.275,-0.0026330157756479277
20,0.275,0.41,0,0.493685,-0.003833381133461279
21,1.65,0.41,0,1.70018,-0.0009033874991848062
22,1.65,0,0,1.65,0.0002997859640402823
23,0.825,0.41,0,0.921263,-0.0012694022666789296
24,0.825,0,0,0.825,-0.0014656120727464259
25,1.375,0,0,1.375,-9.504723647599982e-05
26,1.375,0.41,0,1.43483,-0.0010590758285913917
27,1.925,0,0,1.925,0.00026728900858391205
28,1.925,0.41,0,1.96818,8.372876771757119e-05
29,1.5125,0.205,0,1.52633,-0.0005649556691216449
30,1.7875,0.205,0,1.79922,0.0011524489159599677
31,0.6875,0.205,0,0.717413,0.0001401847105073216
32,0.9625,0.205,0,0.984089,-0.0008753797504240219
33,1.2375,0.205,0,1.25436,0.00031451704112132927
34,2.2,0.205,0,2.20953,0.0
35,0.4687,0.206857,0,0.512318,0.012996774341396698
36,1.99375,0.215274,0,2.00534,0.00016976459454773706
37,2.0625,0,0,2.0625,8.048035106127951e-05
38,2.0625,0.41,0,2.10286,-0.0001092138322763437
39,2.2,0.3075,0,2.22139,0.0
40,0.4125,0,0,0.4125,0.004282445644637599
41,0.4125,0.41,0,0.581598,-0.004065283334364582
42,1.7875,0.41,0,1.83392,2.9623912583889042e-05
43,1.375,0.148613,0,1.38301,-0.0009400523465785467
44,1.5125,0,0,1.5125,0.00023593889098096508
45,1.7875,0,0,1.7875,-0.000496072948094024
46,1.5125,0.41,0,1.56709,0.0002742785146767904
47,0.825,0.261387,0,0.865418,-0.0018940868079686572
48,0.9625,0.41,0,1.04619,-0.001238174481087354
49,0.9625,0,0,0.9625,0.0005454953361870583
50,0.6875,0.41,0,0.800472,-0.002746160600961902
51,0.6875,0,0,0.6875,0.00043207752330029427
52,0.1375,0,0,0.1375,0.0008384805433292144
53,0.1375,0.41,0,0.432442,0.0014820065422728747
54,1.2375,0,0,1.2375,0.003957254095476822
55,1.1,0.148613,0,1.10999,-0.002454611358066063
56,1.2375,0.41,0,1.30365,0.001667474393700669
57,1.65,0.148613,0,1.65668,-0.0005381710911725118
58,1.12672,0.279306,0,1.16082,0.0030820062615643023
59,1.67672,0.279306,0,1.69982,-0.0003337590077857142
60,0.851716,0.130694,0,0.861685,0.003957640010926497
61,1.34828,0.279306,0,1.37691,-0.0013120229275713213
62,0.34375,0.303239,0,0.458386,-0.006094039825578684
63,1.8947,0.128291,0,1.89904,-0.000705695942316526
64,2.0928,0.128291,0,2.09673,0.0006006967236869449
65,1.85625,0.3075,0,1.88155,0.00018313329802268605
66,0.61875,0.3075,0,0.690947,0.0012340505764921574
67,0.61875,0.1025,0,0.627182,-0.005491819548457274
68,0.364854,0.124008,0,0.385352,-0.001936446187125566
69,0,0.3075,0,0.3075,0.001079479517456803
70,0,0.1025,0,0.1025,-0.0011958467022143175
71,2.09917,0.25625,0,2.11475,1.6185780296878945e-05
72,0.48125,0.0923844,0,0.490037,0.002478123368111111
73,0.5781,0.205928,0,0.613683,0.0023801123814739585
74,0.48125,0.319674,0,0.577748,0.001098158502058052
75,0.726588,0.305524,0,0.78821,0.000537087796567747
76,1.99375,0.0839595,0,1.99552,2.9542105991001535e-05
77,1.45996,0.3075,0,1.49199,-0.0010017198085997532
78,1.56903,0.298689,0,1.5972,-0.001098013145083256
79,0.75625,0.082131,0,0.760697,0.0015177633862342161
80,1.03125,0.327869,0,1.08212,0.001392225433289114
81,0.923871,0.307825,0,0.973804,-0.00016720633202197533
82,1.95938,0.312637,0,1.98416,-4.001537365732848e-05
83,1.74922,0.1025,0,1.75222,-0.00020900879219665208
84,1.27578,0.1025,0,1.27989,0.0013234271647425758
85,2.2,0.1025,0,2.20239,0.0
86,1.22594,0.3075,0,1.26391,-0.0010024233348003104
87,1.55078,0.1025,0,1.55416,0.0009018509324132936
88,1.00078,0.1025,0,1.00601,0.003056579762993318
89,1.44375,0.0743064,0,1.44566,6.652090730766583e-05
90,1.16875,0.0743064,0,1.17111,0.0005717677465596739
91,1.89925,0.222997,0,1.9123,0.00013769912732966382
92,0.10209,0.314026,0,0.330204,-0.0064267715506135335
93,1.76648,0.293403,0,1.79068,-9.143525948740308e-05
94,0.340506,0.211999,0,0.401108,-0.007081392458073409
95,0.771079,0.171097,0,0.789833,0.003393232455380403
96,1.04608,0.238903,0,1.07301,-0.00037783011272542416
97,0.2,0.340065,0,0.394517,-3.55157841601143e-05
98,1.42111,0.226116,0,1.43899,0.0013274002910434665
99,0.280046,0.0898255,0,0.2941,0.003191260126245791
100,0.098916,0.0917166,0,0.134894,0.001197820103313089
101,2.13125,0,0,2.13125,-5.687478292191328e-05
102,2.11892,0.342208,0,2.14637,6.617143067149017e-05
103,1.30625,0.41,0,1.36908,-0.0002990686564415688
104,0.89375,0,0,0.89375,-0.0011160203326604416
105,1.59789,0.217379,0,1.61261,0.0014581556612538128
106,0.20625,0,0,0.20625,-6.0110019512863485e-05
107,1.8293,0.074007,0,1.8308,-0.0005699494839181529
108,1.71875,0.41,0,1.76698,1.7491458688748407e-05
109,1.16875,0.41,0,1.23858,0.0006000947081520385
110,2.03822,0.332421,0,2.06515,6.3597765391881e-05
111,0.34375,0,0,0.34375,-0.0007881987480166766
112,0.417496,0.26966,0,0.49701,-0.002994786802838485
113,0.2,0.0768785,0,0.214267,0.0005441868506317405
114,0.929598,0.134316,0,0.939252,-0.0024946358134789776
115,0.0739069,0.169706,0,0.185101,-0.00985065365968707
116,0.523837,0.25783,0,0.58385,0.0031276583316503957
117,0.0545295,0.25625,0,0.261988,-0.0037707987924485
118,0.522963,0.154882,0,0.545416,-0.0018611669232179206
119,1.45277,0.154812,0,1.46099,-0.0014300263662462525
120,1.36922,0.0743064,0,1.37123,0.00034923663158263184
121,1.30625,0,0,1.30625,0.002399331457469946
122,0.850441,0.335694,0,0.914298,-0.0021587927039384484
123,0.882188,0.205,0,0.905694,-0.0043450578147604816
124,1.72094,0.171458,0,1.72946,-0.00011580121622675461
125,1.15719,0.205,0,1.17521,-7.4550312530404e-05
126,1.09422,0.0743064,0,1.09674,0.0011647525811258122
127,1.03125,0,0,1.03125,0.0002512820271292292
128,1.30406,0.171458,0,1.31528,0.0005187640993477918
129,1.67579,0.0743064,0,1.67744,-0.0004547852766145647
130,0.275194,0.334608,0,0.433237,0.002283136090721301
131,1.20967,0.13621,0,1.21731,-0.0009436263545418062
132,1.02534,0.170068,0,1.03934,-0.0004968372918404559
133,0.75625,0.41,0,0.860241,-0.006299184112320027
134,1.58125,0,0,1.58125,0.0014465788306203147
135,0.756717,0.24092,0,0.794143,0.003972630009162918
136,0.692671,0.127225,0,0.704258,0.00027616694455208347
137,0.413972,0.339793,0,0.535567,0.0013227340263649852
138,0.984079,0.271775,0,1.02092,0.0017713030712284497
139,0.06875,0.41,0,0.415724,-0.004609804261189767
140,0,0.35875,0,0.35875,0.0006765655497652735
141,0.928125,0.0627673,0,0.930245,-0.00011349228234536928
142,0.55074,0.321941,0,0.637934,0.0021516924468127385
143,0.550447,0.0913689,0,0.557978,-0.002387430993152105
144,1.58125,0.41,0,1.63354,-0.000442244309196679
145,1.63172,0.338187,0,1.6664,-0.001126698345172554
146,1.82561,0.144995,0,1.83136,-0.00026566814460413134
147,1.85625,0,0,1.85625,0.0004656714519493699
148,1.44375,0,0,1.44375,-8.810567573583735e-05
149,1.44375,0.41,0,1.50084,0.00014684924797610797
150,1.85625,0.41,0,1.90099,-0.0002459737905494453
151,2.13125,0.41,0,2.17033,0.0001226429718889022
152,0.75625,0,0,0.75625,0.004188917148418574
153,0.89375,0.41,0,0.983305,0.002401055362551291
154,0.48125,0,0,0.48125,0.0023958096124779664
155,0.34375,0.41,0,0.535037,0.004623442750860004
156,0.48125,0.41,0,0.63222,-0.0018153363710222846
157,0.20625,0.41,0,0.458954,0.002642051054195275
158,0.06875,0,0,0.06875,0.002230586721277159
159,1.16875,0,0,1.16875,-4.244219805957282e-05
160,0.61875,0,0,0.61875,-0.0033570717159721796
161,0.61875,0.41,0,0.742261,-0.00047977770505012237
162,1.03125,0.41,0,1.10976,0.003592649568175755
163,1.71875,0,0,1.71875,-0.001781337347126587
164,1.99375,0,0,1.99375,-0.00044144688647315407
165,1.99375,0.41,0,2.03547,-0.00010138791922310353
166,1.34063,0.348949,0,1.38529,-0.001042450117484237
167,1.13437,0.348949,0,1.18683,0.00036557017805777746
168,1.70018,0.343866,0,1.73461,0.0007887608378995706
169,2.13578,0.0712665,0,2.13697,0.00027266888080317855
170,1.66844,0.21292,0,1.68197,-5.0045595482380256e-05
171,1.29578,0.237844,0,1.31743,-0.0009326493979498062
172,0.823308,0.0684233,0,0.826146,0.0015215004231573207
173,1.40937,0.352031,0,1.45267,0.0006588159228927256
174,0.403506,0.182067,0,0.44268,-0.009894944146902182
175,0.378125,0.0579495,0,0.38254,-0.002752202812495337
176,0.304347,0.151832,0,0.340118,0.0003565039987815571
177,2.12925,0.190614,0,2.13776,2.1135834878460758e-05
178,2.06077,0.198945,0,2.07035,1.8376907627763232e-05
179,2.01325,0.149617,0,2.0188,0.00037071147377664565
180,1.94277,0.173445,0,1.95049,-7.15080452538455e-05
181,1.89552,0.0607616,0,1.8965,0.0005755655639672944
182,2.06955,0.0660573,0,2.07061,-0.0001834189768228449
183,1.27468,0.352022,0,1.3224,-0.0012464539550114625
184,1.61471,0.0947343,0,1.61749,0.0005908688825326992
185,0.789902,0.314912,0,0.850362,-0.0022465341864143125
186,0.695187,0.0634051,0,0.698073,-0.003904902083580119
187,0.297174,0.259217,0,0.394342,-0.00041100742077565706
188,1.7299,0.238007,0,1.7462,0.0004991115811417168
189,1.35658,0.212039,0,1.37305,0.0005360140495508507
190,2.03437,0.266868,0,2.0518,4.9858202311401826e-05
191,1.51769,0.342626,0,1.55588,0.0015008694818270589
192,1.56188,0.165045,0,1.57058,-0.0004278008269475856
193,1.19734,0.252373,0,1.22365,0.0001846200350227446
194,1.80409,0.346818,0,1.83712,0.00040572259977440653
195,1.81789,0.258924,0,1.83623,0.00020132291951414325
196,1.9059,0.348506,0,1.9375,5.346671517886335e-05
197,0.67198,0.268897,0,0.723783,0.0002941755627978713
198,0,0.05125,0,0.05125,0.0012642528064418393
199,0.653125,0.35875,0,0.745167,-0.002116969177900245
200,0.63969,0.162762,0,0.660071,-0.00018071773087638106
201,0.427415,0.124255,0,0.44511,-0.004619229131626148
202,1.19284,0.356235,0,1.24489,-0.0013465856257418012
203,0.827912,0.183856,0,0.848082,0.002115884415317828
204,1.09749,0.208357,0,1.11709,-0.0009636559446616906
205,1.28257,0.294441,0,1.31593,0.0015811166891507122
206,1.47486,0.250422,0,1.49597,-0.000572509530684404
207,1.40677,0.282928,0,1.43494,-0.0004198273361448613
208,0.446875,0.0461922,0,0.449256,-0.0019212715856573744
209,0.515625,0.0458536,0,0.51766,0.0020567591291311884
210,0.592043,0.05125,0,0.594258,0.0005123218141482523
211,1.84566,0.199831,0,1.85644,0.0006363174638198705
212,2.14496,0.290979,0,2.16461,3.3820613693814765e-05
213,0.617109,0.249237,0,0.665539,-9.451405999269481e-05
214,2.2,0.15375,0,2.20537,0.0
215,0.514559,0.364837,0,0.630775,-0.001554531092135463
216,1.57795,0.354036,0,1.61718,-0.00011841901015209026
217,0.721875,0.363311,0,0.808145,0.002777185573938001
218,0.0496155,0.333125,0,0.3368,0.0009489139608265791
219,0.584375,0.366256,0,0.689665,-0.005128154740777064
220,0.581088,0.1474,0,0.599491,-0.0019675654509232277
221,1.50899,0.142178,0,1.51567,0.0010474016827426323
222,0.884067,0.264099,0,0.922672,-0.0005414894360230974
223,0.0977661,0.22049,0,0.241193,0.001629206095221901
224,1.50437,0.061434,0,1.50562,0.00022971701997820593
225,1.22386,0.0823555,0,1.22662,-0.002374347135505463
226,1.15332,0.128985,0,1.16051,-0.000396608700519674
227,2.14892,0.125884,0,2.15261,0.00013375526903945447
228,0.309375,0.0431233,0,0.312366,-0.003401133400782915
229,1.62199,0.284121,0,1.64669,-0.0011886235283384448
230,1.55012,0.2462,0,1.56955,0.0004948038409517552
231,1.32718,0.121697,0,1.33275,0.0009689847662337251
232,1.05198,0.122138,0,1.05904,2.464104299893617e-05
233,1.75312,0.0455602,0,1.75372,0.00037225262736928966
234,1.27188,0.0455602,0,1.27269,0.0005738830168331283
235,0.981608,0.0512614,0,0.982946,-0.00016683883253884764
236,1.03905,0.0572225,0,1.04063,-0.0006350866565636382
237,0.971923,0.348048,0,1.03236,0.0004104466769944246
238,1.94956,0.118051,0,1.95313,-0.00022326475251788056
239,1.95,0.0496583,0,1.95063,-2.8475791902596477e-05
240,1.77196,0.153028,0,1.77856,-0.00036297599882924135
241,1.90925,0.281276,0,1.92985,-0.0001724125078657405
242,0.245954,0.0466863,0,0.250345,-0.0004853115543058037
243,1.94858,0.244533,0,1.96386,-3.9702816700254185e-05
244,1.69727,0.123392,0,1.70175,0.00012041446206101716
245,0.79649,0.121143,0,0.80565,-0.0012263682415749669
246,1.06562,0.368934,0,1.12768,-0.0011707370157612198
247,1.08585,0.317085,0,1.1312,0.00042060548208146947
248,0.470298,0.260435,0,0.537593,0.0034907244379438155
249,1.5774,0.054636,0,1.57835,-0.0003186639340025314
250,0.0562266,0.0549382,0,0.0786107,0.004819947991510251
251,0.326721,0.356619,0,0.483657,-0.0028304063396231045
252,0.900305,0.356405,0,0.968284,-0.002033124799524135
253,1.75157,0.36511,0,1.78922,0.0014069103488660445
254,0.158379,0.29947,0,0.338771,7.651736245888562e-05
255,0.145528,0.35428,0,0.383005,-0.003510973127603933
256,2.2,0.35875,0,2.22906,0.0
257,0.234766,0.298325,0,0.379622,-0.0004934788313328552
258,0.152728,0.106577,0,0.186238,-0.0036814901883318067
259,0.138214,0.0542745,0,0.148488,-0.00035479016972898023
260,0.874934,0.0511012,0,0.876425,-0.0022637299538987815
261,0.643662,0.056935,0,0.646175,0.0032173021974416347
262,1.46688,0.361126,0,1.51068,0.0007130980586077648
263,1.99028,0.356475,0,2.02195,0.0006461817216481734
264,1.17471,0.299092,0,1.21219,-0.0031512639207510896
265,0.520269,0.206382,0,0.559709,-0.007091113784753399
266,0,0.25625,0,0.25625,-0.0006580136440788248
267,2.2,0.25625,0,2.21487,0.0
268,2.2,0.05125,0,2.2006,0.0
269,0,0.15375,0,0.15375,-0.002285655431320271
270,1.85398,0.35875,0,1.88837,-0.00018312962468269422
271,0.978751,0.148752,0,0.989991,0.00029558175662453045
272,0.240625,0.372215,0,0.443221,0.0005383347884241672
273,1.51564,0.28827,0,1.54281,0.0012737928123797225
274,0.090483,0.363772,0,0.374856,0.005493346615074205
275,2.15045,0.238707,0,2.16366,8.457874480481228e-05
276,1.32378,0.0489763,0,1.32469,0.001028678514152033
277,0.807413,0.36247,0,0.885043,-0.0009592381330125988
278,1.40937,0.0371532,0,1.40986,-0.00228211768666842
279,1.40648,0.108785,0,1.41069,-0.0004968283038776919
280,1.13437,0.0371532,0,1.13498,0.0002822412588138985
281,1.6274,0.0455216,0,1.62804,0.0008578465149898997
282,0.117017,0.142761,0,0.184591,-0.007580844339900778
283,2.04541,0.110534,0,2.04839,-0.00014936093136179494
284,1.25541,0.157731,0,1.26528,0.00037687563158343533
285,2.02813,0.037076,0,2.02846,-0.00033181819055640497
286,0.474361,0.142151,0,0.495202,-0.0032582290862422196
287,0.935401,0.250631,0,0.968396,0.0010261509229535044
288,0.0442083,0.128125,0,0.135537,0.0014341788994373487
289,0.892239,0.0992956,0,0.897747,-6.158455155881853e-05
290,0.119785,0.26634,0,0.292037,0.0015743310466764075
291,1.24826,0.256591,0,1.27436,-0.0008461576904003917
292,0.374689,0.370724,0,0.527093,-0.002850526460431342
293,1.20312,0.0366132,0,1.20368,-6.908762506294326e-05
294,0.572462,0.275125,0,0.635143,0.0014516747922595633
295,0.336543,0.0839578,0,0.346857,0.002860187736818691
296,2.07266,0.297509,0,2.09391,0.00012737017134506812
297,0.458108,0.364837,0,0.585636,0.0002139180226366649
298,0.387452,0.229545,0,0.450344,-0.005420034654913148
299,0.782785,0.0410655,0,0.783862,-0.002267129985672132
300,1.88772,0.176088,0,1.89592,-0.00029238632146805324
301,1.47264,0.111828,0,1.47688,0.0008137551788223445
302,1.86594,0.260414,0,1.88402,-0.0006510117951413118
303,1.46391,0.203044,0,1.47793,0.0006598051323835741
304,1.37643,0.318674,0,1.41284,0.0007438086129787696
305,0.664199,0.314169,0,0.734754,0.001029797689342481
306,0.294312,0.213099,0,0.36336,-0.008467053122652191
307,0.347815,0.166657,0,0.385681,0.0027593886193967433
