Point ID,_0,_1,_2,_Magnitude,f_26
1699,1.01956,0.343111,0,1.07574,5.389279942148359e-06
1700,1.24496,0.306252,0,1.28207,-0.0003099987714074555
1701,1.00012,0.0537367,0,1.00156,0.008562984247124377
1702,1.24337,0.23796,0,1.26593,-0.00021448282683769385
1703,2.02371,0.018538,0,2.02379,-0.00031075716150426444
1704,0.25663,0.332879,0,0.420318,0.0016117810859172337
1705,1.74744,0.245164,0,1.76455,0.0012942664784975166
1706,0.0858562,0.0194522,0,0.0880322,-0.0069600360113197595
1707,0.657991,0.0451986,0,0.659542,0.001839563992431527
1708,0.68697,0.019968,0,0.68726,-0.0011490373438945108
1709,0.684204,0.0484902,0,0.68592,-0.00030444053707575887
1710,0.570405,0.32223,0,0.655129,-0.004559759055330424
1711,0.0510251,0.0363337,0,0.0626394,-0.0009681473264970998
1712,1.06165,0.0204356,0,1.06184,0.0033392750144119214
1713,1.62422,0.39337,0,1.67118,-0.00046241147665094975
1714,1.4878,0.334558,0,1.52495,-0.003115399919421775
1715,0.497219,0.0815596,0,0.503864,-0.0034601189950399904
1716,1.59111,0.199304,0,1.60355,0.0007051591060630797
1717,1.57972,0.170491,0,1.58889,0.00035730639866830176
1718,1.87344,0,0,1.87344,-0.0002490771338187139
1719,0.218481,0.134168,0,0.256389,-0.001314642199174272
1720,1.94219,0,0,1.94219,0.0002335432573179636
1721,0.627452,0.325062,0,0.706656,-0.006706429734324504
1722,0.0132767,0.0896875,0,0.0906649,-0.005427321857020671
1723,0.496155,0.363239,0,0.614908,0.0006141759515750114
1724,0.970572,0.071893,0,0.973231,0.0012983971307094864
1725,1.89619,0.295317,0,1.91904,-0.0013779727413803396
1726,1.87522,0.306267,0,1.90007,-0.0001277340763227286
1727,0.98235,0.226365,0,1.00809,0.00010499097022355591
1728,1.52575,0.153581,0,1.53346,-0.0002895292892476986
1729,0.627344,0.0163243,0,0.627556,-0.0012482034612861517
1730,0.360938,0,0,0.360938,-0.004194092160052527
1731,0.157154,0.0487097,0,0.164529,0.0014585051108150823
1732,1.52969,0,0,1.52969,0.0013887185372787533
1733,0.507011,0.193587,0,0.542712,0.0028743628004363557
1734,2.04469,0.236713,0,2.05834,0.00012129295072887493
1735,2.01061,0.222675,0,2.02291,-4.3883653739482985e-05
1736,1.51344,0.38968,0,1.5628,-0.0013130494916711428
1737,1.52969,0.41,0,1.58368,0.0010341147340618534
1738,1.5453,0.390012,0,1.59376,-0.000283731416022554
1739,0.483051,0.247142,0,0.542603,0.0034988535495272853
1740,0.481469,0.22012,0,0.5294,-1.205639996196739e-05
1741,0.837057,0.216828,0,0.864684,0.0031124611459205933
1742,0.663392,0.112714,0,0.672899,0.0014106985810444423
1743,0.643205,0.143988,0,0.659125,-0.0011989593922808912
1744,1.28906,0,0,1.28906,-0.004273666317933124
1745,1.15854,0.393484,0,1.22353,0.0031161365964041225
1746,1.02582,0.0181005,0,1.02598,-0.000351007891265169
1747,1.26075,0.271376,0,1.28963,0.002764221433731538
1748,1.29859,0.285302,0,1.32956,0.000902427941293349
1749,1.09884,0.301981,0,1.13958,0.0012256760911057466
1750,1.17883,0.368689,0,1.23514,-0.0009556677023034757
