Point ID,_0,_1,_2,_Magnitude,f_26
0,0,0.41,0,0.41,0.003233740661081343
1,0,0,0,0,0.0024401771806426453
2,2.2,0,0,2.2,0.0
3,2.2,0.41,0,2.23788,0.0
4,0.240451,0.229389,0,0.332319,-1.035604604588574e-05
5,0.25,0.2,0,0.320156,-0.0005238128262406768
6,0.240451,0.170611,0,0.29483,-0.0004331236843905965
7,0.215451,0.152447,0,0.26393,-0.002274051015713441
8,0.184549,0.152447,0,0.239371,-0.00037028097506439735
9,0.159549,0.170611,0,0.233589,0.0024645017019159885
10,0.15,0.2,0,0.25,-0.004656326330608794
11,0.159549,0.229389,0,0.27942,0.00498410795161503
12,0.184549,0.247553,0,0.308773,0.0022277384710538777
13,0.215451,0.247553,0,0.328179,-0.0004974257245707544
14,1.1,0,0,1.1,-0.0008771268088750473
15,1.1,0.41,0,1.17393,-0.0019665148624675517
16,0,0.205,0,0.205,0.011571507200566579
17,0.55,0,0,0.55,0.001203504073022312
18,0.55,0.41,0,0.686003,0.002031338204551564
19,0.275,0,0,0.275,-0.001672440828707469
20,0.275,0.41,0,0.493685,0.0034010621671424408
21,1.65,0.41,0,1.70018,0.0005257389568807506
22,1.65,0,0,1.65,-0.0006693148745278545
23,0.825,0.41,0,0.921263,-0.0036817652689948087
24,0.825,0,0,0.825,0.0038667576643574247
25,1.375,0,0,1.375,-0.0016861002674040918
26,1.375,0.41,0,1.43483,-0.0013108622237129161
27,1.925,0,0,1.925,0.000731487391327756
28,1.925,0.41,0,1.96818,-0.00016335256548002266
29,1.5125,0.205,0,1.52633,0.0011605112335962863
30,1.7875,0.205,0,1.79922,0.0002734711828291365
31,0.6875,0.205,0,0.717413,0.0016597076187738612
32,0.9625,0.205,0,0.984089,-0.0019497200311549899
33,1.2375,0.205,0,1.25436,0.002140102726608829
34,2.2,0.205,0,2.20953,0.0
35,0.4687,0.206857,0,0.512318,-0.0018143908293106134
36,1.99375,0.215274,0,2.00534,0.00010461765399585783
37,2.0625,0,0,2.0625,-0.0003217535795008746
38,2.0625,0.41,0,2.10286,-0.00010863039431040241
39,2.2,0.3075,0,2.22139,0.0
40,0.4125,0,0,0.4125,0.0007896667613920374
41,0.4125,0.41,0,0.581598,-0.0024386902275126084
42,1.7875,0.41,0,1.83392,1.9258666638925998e-05
43,1.375,0.148613,0,1.38301,0.0010919044781954714
44,1.5125,0,0,1.5125,0.0008692528233885692
45,1.7875,0,0,1.7875,0.00038378394531410646
46,1.5125,0.41,0,1.56709,0.0008372381433500984
47,0.825,0.261387,0,0.865418,-0.001836253407651728
48,0.9625,0.41,0,1.04619,-0.0020498148708453746
49,0.9625,0,0,0.9625,-0.0021019168264443185
50,0.6875,0.41,0,0.800472,-0.001433811106962704
51,0.6875,0,0,0.6875,0.0004649513780958833
52,0.1375,0,0,0.1375,0.0007112414403323454
53,0.1375,0.41,0,0.432442,-0.002094842239100574
54,1.2375,0,0,1.2375,0.00013321279197158213
55,1.1,0.148613,0,1.10999,0.0011417037240146468
56,1.2375,0.41,0,1.30365,0.001675673996781379
57,1.65,0.148613,0,1.65668,0.00029628990306807153
58,1.12672,0.279306,0,1.16082,-0.004826941187687362
59,1.67672,0.279306,0,1.69982,0.00027826989193927026
60,0.851716,0.130694,0,0.861685,-0.0054300439712450365
