Point ID,_0,_1,_2,_Magnitude,f_26
0,0,0.41,0,0.41,0.002552711676159903
1,0,0,0,0,-0.0032372935037090914
2,2.2,0,0,2.2,0.0
3,2.2,0.41,0,2.23788,0.0
4,0.240451,0.229389,0,0.332319,0.00036078202780647563
5,0.25,0.2,0,0.320156,-0.003961127293986636
6,0.240451,0.170611,0,0.29483,0.003165828540081499
7,0.215451,0.152447,0,0.26393,0.0025679495163301335
8,0.184549,0.152447,0,0.239371,-0.0016717641750652638
9,0.159549,0.170611,0,0.233589,-0.0006095459225596266
10,0.15,0.2,0,0.25,6.402299019438754e-05
11,0.159549,0.229389,0,0.27942,0.0018362417901015922
12,0.184549,0.247553,0,0.308773,0.0002777095470337437
13,0.215451,0.247553,0,0.328179,0.0030860525653049645
14,1.1,0,0,1.1,-0.0011177651188934235
15,1.1,0.41,0,1.17393,0.0036605771519483015
16,0,0.205,0,0.205,0.0008506669924370332
17,0.55,0,0,0.55,-0.0031756349879633306
18,0.55,0.41,0,0.686003,0.000980565273871604
19,0.275,0,0,0.275,4.585217842543832e-05
20,0.275,0.41,0,0.493685,-0.002273645158982083
21,1.65,0.41,0,1.70018,-0.0010896405115154045
22,1.65,0,0,1.65,-0.00108209624320969
23,0.825,0.41,0,0.921263,-0.002120638754859827
24,0.825,0,0,0.825,0.0003786090199062413
25,1.375,0,0,1.375,-0.0001601620254208601
26,1.375,0.41,0,1.43483,0.0006408226073770923
27,1.925,0,0,1.925,-0.0003207077392850864
28,1.925,0.41,0,1.96818,0.0005301043432479455
29,1.5125,0.205,0,1.52633,-0.0008959288594551934
30,1.7875,0.205,0,1.79922,7.674741455491248e-05
31,0.6875,0.205,0,0.717413,0.002217331190303097
32,0.9625,0.205,0,0.984089,0.00292114111601166
33,1.2375,0.205,0,1.25436,8.038039241898393e-05
34,2.2,0.205,0,2.20953,0.0
35,0.4687,0.206857,0,0.512318,-0.0014043289718449902
36,1.99375,0.215274,0,2.00534,0.000456175382865997
37,2.0625,0,0,2.0625,-5.6867416370219156e-06
38,2.0625,0.41,0,2.10286,0.00011884787923954046
39,2.2,0.3075,0,2.22139,0.0
40,0.4125,0,0,0.4125,-0.005696789151700559
41,0.4125,0.41,0,0.581598,0.000559859321153217
42,1.7875,0.41,0,1.83392,-0.00033662520181405246
43,1.375,0.148613,0,1.38301,0.0010606571715863664
44,1.5125,0,0,1.5125,0.0006431070800065476
45,1.7875,0,0,1.7875,-0.0001189403484671708
46,1.5125,0.41,0,1.56709,0.00020387120267851498
47,0.825,0.261387,0,0.865418,-0.0031350680707894086
48,0.9625,0.41,0,1.04619,0.0004046584169029511
49,0.9625,0,0,0.9625,0.0007216536095822435
50,0.6875,0.41,0,0.800472,0.0006427070710955138
51,0.6875,0,0,0.6875,-0.0020898993545445752
52,0.1375,0,0,0.1375,-0.0010906989167712366
53,0.1375,0.41,0,0.432442,-0.00170111968811953
54,1.2375,0,0,1.2375,0.00015696522025108656
55,1.1,0.148613,0,1.10999,-0.001314343885590543
56,1.2375,0.41,0,1.30365,0.00014921518470349841
57,1.65,0.148613,0,1.65668,0.0007746621194459656
58,1.12672,0.279306,0,1.16082,0.0019524468594246938
59,1.67672,0.279306,0,1.69982,0.0006848868009025998
